Time,Open,High,Low,Close,Volume
2023-10-31 13:15:00,1798.75,1799.25,1795.7,1798.09,461.4663
2023-10-31 13:30:00,1801.17,1802.92,1801.16,1802.17,510.0237
2023-10-31 13:45:00,1796.39,1797.56,1793.01,1796.38,1176.7274
2023-10-31 14:00:00,1792.53,1793.48,1789.76,1793.47,1515.0399
2023-10-31 14:15:00,1791.9,1797.76,1791.86,1796.96,1499.236
2023-10-31 14:30:00,1796.1,1796.37,1793.54,1794.37,1259.8863
2023-10-31 14:45:00,1790.99,1796.22,1790.06,1796.21,743.6128
2023-10-31 15:00:00,1799.41,1800.0,1798.56,1799.08,653.2094
2023-10-31 15:15:00,1795.34,1795.65,1783.92,1791.0,5110.5962
2023-10-31 15:30:00,1789.98,1793.96,1788.76,1791.35,1627.174
2023-10-31 15:45:00,1787.77,1789.65,1785.45,1787.36,1506.4682
2023-10-31 16:00:00,1792.24,1793.4,1791.0,1791.46,841.5222
2023-10-31 16:15:00,1792.65,1793.92,1792.3,1792.3,1197.8202
2023-10-31 16:30:00,1795.24,1797.79,1795.23,1797.51,747.849
2023-10-31 16:45:00,1797.68,1806.0,1797.66,1802.9,3657.3532
2023-10-31 17:00:00,1801.81,1804.23,1801.8,1803.55,653.465
2023-10-31 17:15:00,1800.51,1800.65,1799.33,1800.14,623.1386
2023-10-31 17:30:00,1800.43,1800.96,1799.13,1800.77,617.6016
2023-10-31 17:45:00,1799.36,1800.6,1798.65,1800.14,239.4917
2023-10-31 18:00:00,1801.75,1802.15,1801.01,1801.9,374.0128
2023-10-31 18:15:00,1800.32,1802.3,1800.31,1800.86,319.5521
2023-10-31 18:30:00,1800.16,1801.0,1799.71,1800.22,428.108
2023-10-31 18:45:00,1802.96,1807.3,1802.95,1804.72,937.7107
2023-10-31 19:00:00,1807.57,1809.0,1807.57,1808.6,670.5632
2023-10-31 19:15:00,1809.94,1811.5,1808.83,1808.84,615.5409
